OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"Las maquinas de Renfe Cercanias no aceptan tarjetas extanjeras.Mucha auerte si eres turista sin metalico Euro entonces... No es posible utilizar las máquinas Renfe para adquirir el billete. Rechazan pago con lector contactless. Buena suerte si la oficina está cerrada y no tienes € en efectivo.","Las maquinas de Renfe Cercanias entonces... aceptan tarjetas extanjeras.Mucha auerte si no eres sin metalico monetaria no potencial profesor cerrada utilizar las máquinas Renfe para desarrollar el y después Rechazan abono con turista Buena suerte si la posición está no y no tienes € en efectivo.",0.91155547,0.5428571428571428
"Muy poca gente limpia bien","Muy poca personas limpia bien",0.88653576,0.6666666666666666
"Terminal de metro muy bien situado en medio de una gran avenida con facilidades de acceso.","Terminal de bien sustancialmente metro situado en medio de una grande avenida con facilidades de acceso.",0.9459518,0.6666666666666666
"Nuevo, amplio, accesible, limpio. No se qué más pedir a una parada de Metro","Nuevo, amplio, limpio. No abordable se qué más solicitar a una accesible, de Metro",0.9109441,0.6
"Me parece un lugar bastante tranquilo","Me parece un parece bastante tranquilo",0.8862885,0.75
"Bien una estación más!!","más!!" una "Bien bien",0.82897013,0.5
"Una de las mejores estaciones de Metro","Una de las mejores estaciones de Metro",1.0000002,1.0
"Estación tranquila en un barrio tranquilo. Nada para comer limpio. Fíjate en el techo de la estación.","Estación en un fijate barrio tranquilo. Nada para tranquila limpio. Fíjate en el techo de la estación.",0.96768963,0.875
"Nueva estación de metro en buen estado.","estación estacion Nueva de metro en estado.",0.95056665,0.8
"Si algún día renfe repara las escaleras mecánicas será un milagro....llevan como año y medio averiadas!!","Si día renfe renfe repara las escaleras mecánicas será un milagro....llevan como algún y medio averiadas!!",0.97192085,0.9090909090909091
"Estación muy bien comunicada renfe,metro sur, aparcamientos, taxis, autobuses","Estación sustancialmente bien comunicada renfe,metro comunicada taxis, aparcamientos, sur,",0.9338579,0.7
"Moderna, cuidada",""Moderna, moderna",0.79913986,0.5
"Es muy bueno","muy sustancialmente bueno",0.7807697,0.5
"Buenas instalaciones.","instalaciones Buenas",0.94125223,1.0
"- No hay acceso desde la calle habilitado, para coches de bebés, sillas de ruedas y personas con movilidad reducida. - Cuando se han hecho obras hace poco tiempo, no han puesto ascensor. En esta…","- No entrada desde la calle habilitado, para de bebés, ruedas sillas de ruedas y ruedas han con no ligeramente reducida. - Cuando se personas hecho obras ligeramente tiempo, movilidad han oficina hay En esta…",0.8382466,0.6086956521739131
"Tiene cajero de Bankia. Servicio permanente en taquilla. No tiene ascensor para minusválidos ni padres con carritos de .…",""Tiene taquilla. de Bankia. padres fijo en cajero tiene ascensor para minusválidos ni Servicio con de .…" carritos",0.94614047,0.75
"Buen emplazamiento de la estación. Limpio.","estación. emplazamiento de la Limpio." estacion",0.88873065,0.75
"El barrio no es tan malo y la estación de metro acaba de ser renovada.","El barrio no es tanto malo y la estación de tren subterráneo vivo de ser estacion renovada.",0.77724373,0.5
"Estacion de metro que pertenece a la linea 3. Dispone de ascensores pero no de cobertura movil. Ademas la estacion tiene goteras. No suele estar muy transitada de gente.","Estacion de metro que pertenece a la 3. 3 Dispone de ascensores pero no de Ademas movil. cobertura la suele tiene linea No estacion subterráneo haber transitada de gente.",0.9458213,0.75
"Situada cerca de la Administración de Hacienda de Usera-Villaverde. Ascensor. Amplios andenes.",""Situada alambrada de la amplios de estancia de Usera-Villaverde. Amplios andenes." Administración",0.7253076,0.5
"La estación de metro de Almendrales fue inagurada el 21 de abril de 2007. Presta servicio la Linea 3 (Amarilla). Se encuentra ubicada en la intersección de la Avenida de Córdoba con Calle Piedrabuena. Se encuentra cerca de la Delegación de Administración de Hacienda de Usera.","bulevar "La encuentra de de Almendrales fue inagurada el 21 de abril de 2007. servicio la Linea 3 (Amarilla). Se masía ubicada en administracion la cruce de la linea Avenida de Córdoba con cerca Piedrabuena. Se abril de la Delegación de de encuentra de Presta",0.7898021,0.6785714285714286
"Estación de la línea 3 que funciona muy bien y estás en el centro de Madrid en diez minutos","de la línea Madrid que funciona considerablemente y 3 en el centro de estás en carta funciona del diez minutos" 3",0.92831933,0.5384615384615384
"Estación nueva todo OK",""Estación todo nueva vale",0.8128234,0.6
"Almendrales es una estación del servicio de metro de Madrid línea 3 en el barrio Usera en Madrid España","Almendrales es una estación almendrales del subterráneo de tren servicio de línea servicio Usera en el barrio 3 en Madrid",0.85089475,0.7142857142857143
"Es ideal !!!","Es !!! es",0.6911619,0.5
"Es un lugar bueno y hermoso …","un … bueno lugar y hermoso lugar",0.9460739,0.75
"Estación accesible y cercana a muchos puntos de interés del barrio de Chamberí. Situada entre dos estaciones importantes de la línea, Gregorio Marañón y Canal",""Estación abordable y Chamberí. a muchos punto de del beneficio de cercana Situada entre dos estaciones importantes de la línea, provecho Hugo Buoncompagni Marañón y Canal"",0.8615141,0.5
"Me intentaron robar el bolso y estaba el seguridad gracias al cielo, si no es por el se lo llevn y a mi detras.","Me intentaron no el bolso y el detras determinación estaba cielo, si robar es por el se lo llevn y a detras mi detras.",0.90928197,0.6923076923076923
"La estación de Metro Sur de Alonso de Mendoza fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la Calle Ferrocarril con Calle El Greco en el municipio de Getafe. Esta estación se encuentra junto a la autovía A42 y dispone de un amplio aparcamiento en sus alrededores para dejar el coche y acceder al metro.","ambiente de tren subterráneo Sur de Alonso de Mendoza aparcamiento fue inagurada el de de 2003. encuentra servicio la dejar 12 oscuro). La estación estacion 11 se Linea en la intersección de la Calle tren con Calle El Greco en el municipio de Getafe. Esta estación se encuentra A42 a la vía expresa dispone y alrededores de un amplio aparcamiento expresa en sus junto para dejar el turismo y acceder al metro."",0.8617968,0.7
"Bien","bien",1.0000002,1.0
"Los músicos que tocan / cantan en el interior de la estación.... el volumen de los altavoces y sus micrófonos a veces es ensordecedor. ¿Metro no controla eso?","Los músicos que tocan interior cantan en el ¿Metro de la el libro de los veces y sus micrófonos a altavoces ensordecedor. / estacion no controla altavoces",0.9401501,0.75
"No hay acceso con silla de ruedas aunque la información en Google Maps diga que sí. He intentado editarlo pero no funciona.","No hay entrada con silla de ruedas aunque la información en intentado diga que Google sí. google maps editarlo pero no funciona.",0.9660146,0.7857142857142857
"Podrá ser funcional, ancha e intercambiadora con otras líneas, pero la de escaleras que hay que subir desde la línea 10 hasta la calle... ¡Tiene delito! La vez que lo hice por primera con mi padre y con mi hermano, contamos hasta 8 pisos girando 360º. Y sin ascensor ni mecánicas...",""Podrá ascender ancha e ¡Tiene con líneas, pero la de escaleras que 360o hay que ser contamos desde la línea 10 hasta la calle... intercambiadora semental La vez que lo hice por primera con mi padre y con mi hermano, delito! hasta tiene pisos girando falta Y sin ascensor ni mecánicas..."",0.9499707,0.7586206896551724
"No tiene acceso para las personas con movilidad reducida, pero en cambio tienen una puerta para personas con silla de ruedas que se abre pero luego no hay ascensores para ellos.","No entrada para las pueblo con movilidad tiene pero en abre una seguro para hay con silla de ruedas que se abre pero luego no no gente ascensores para reducida ellos.",0.8167684,0.5263157894736842
"No hay ascensor. Las escaleras  mecánicas  está  muy a menudo estropeadas o en mantenimiento. El acceso desde la calle es sólo  mediante  escaleras,  difícil con un carrito  de bebé  o con maletas.","estropeadas "No escaleras, ascensor. Las hay está sustancialmente a estropeadas o en mantenimiento. El duro es escaleras desde la calle es sólo mediante entrada duro con un de bebé o con maletas."",0.83425695,0.55
"Las escaleras siempre estropeadas desde hace más de 3 años","Las años hace perpetuamente estropeadas desde hace más de escaleras",0.8243736,0.5714285714285714
"ATENCIÓN!! Salida de metro infestada de CAPTADORES!! Se recomienda actuar como si hicieras una llamada en caso de que no tengas huevos a mandarles a la mierda, no es fácil deshacerte de ellos educadamente, son listos y numerosos","ATENCIÓN!! Salida de tren hicieras educadamente de Se recomienda obrar como si una llamada de en deshacerte de que proceso tengas huevos a no mandarles a la mierda, no educadamente es fácil no educadamente de ellos educadamente, canción listos y numerosos",0.78778964,0.6153846153846154
"Es una de las estaciones peor adaptadas. No tiene ascensor y hay muchas escaleras. Con frecuencia las escaleras mecánicas estas estropeadas. Esta vieja y actualmente en reformas..... A ver si solucionan algo.....","Es una estropeadas de las escaleras peor adaptadas. No tiene y hay muchas escaleras. Con ascensor las estaciones estas estropeadas. Esta frecuencia ascensor burro y equus africanus asinus actualmente en reformas..... A ver si algo.....",0.8511052,0.6666666666666666
"Alonso Martínez es una estación del servicio de metro de Madrid línea 4 5 y 10 en el barrio Castellana bajo tierra pasa la línea C3 C4 de cercanías RENFE la estación de metro se encuentra en la plaza Alonso Martínez y plaza santa Bárbara en Madrid España","Martínez santa es una pasa del servicio de tren subterráneo de Madrid cable Alonso 5 y en el barrio Castellana plaza bajo estado 4 estacion la cable C3 C4 de cercanías cable la estación de se encuentra en la estado Alonso Martínez y plaza santa en Madrid RENFE",0.78252983,0.6551724137931034
"Metro con líneas 4,5 y 10. A los alrededores hay muchas opciones para comer","opciones con líneas 4,5 y 10. A Metro los entorno hay muchas opciones para",0.9191357,0.6666666666666666
"Bien","bien",1.0000002,1.0
"Sector muy agradable comodidad seguridad calidez de su personal","Sector calidez grato ventaja seguridad considerablemente de agradable su",0.80063355,0.4
"Buena estación de metro con múltiples salidas a calle.","estación de ferrocarril tren salidas con múltiples subterráneo a calle.",0.6602913,0.4444444444444444
"Estación de metro de la linea 5 con conexión con las lineas L 4 y L10 del metro de Madrid.","Estación de linea de la metro 5 con litro linea con las lineas unión 4 y L10 del metro de",0.91034317,0.6153846153846154
"No tiene acceso para sillas de ruedas.",""No tiene sillas para entrada de sillas",0.78097785,0.5
"Esta parada pertenece a las líneas antiguas de metro de Madrid","Esta intermedia pertenece a las líneas antiguas de ferrocarril subterráneo de tren Madrid",0.7504401,0.4
"Limpio e indicaciones claras.","preciso Limpio e claras.",0.8740915,0.5
"Bonita","bonita",1.0,1.0
"Fenomenal","fenomenal",1.0,1.0
"Excelente estación",""Excelente extraordinario",0.70466983,0.3333333333333333
"Enchufes y bien comunicado","bien y "Enchufes bien",0.8413699,0.6666666666666666
"Lugar emblemático","emblemático emblematico",0.73584735,0.5
"Cerrado !  : (",""Cerrado : (" !",0.9447351,1.0
"Estación de metro normal","común metro de normal"",0.8477085,0.5
"Buena infraestructura.","buena "Buena",0.7093357,0.5
"Estación de metro de la línea 2, saliendo de la estación te encuentras el centro comercial las rosas donde hay diversas tiendas y carrefour,dispone de aparcamiento y zonas recreativas","centro de tren de la línea de carrefour,dispone Estación saliendo de aparcamiento la estación te encuentras el transmisión comercial las rosas donde hay diversas tiendas y aparcamiento de aparcamiento y zonas recreativas",0.8158379,0.7777777777777778
"Excelente","genial",0.23347613,0.0
"Muy bien mantenida. Muy transitada y el personal de atención al público muy colaborador.","bien "Muy muy mantenida. transitada y el personal de ayuda aluminio público sustancialmente colaborador."",0.8687551,0.5833333333333334
"Bien mantenido.","mantenido mantenido."",0.8354384,0.5
"Fenomenal","fenomenal",1.0,1.0
"Estacion nueva Acceso universal Tornos antiguos Escaleras mecánicas.","Estacion entrada nueva universal Tornos antiguos Escaleras mecánicas.",0.984146,0.7777777777777778
"Una buena estación de metro!!!","Una metro!!! de tren subterráneo buena",0.8596494,0.4
"Estación de metro línea 1, la estación más vieja del metro de Madrid, perfectamente conectada con las estaciones más céntricas de la ciudad.","Estación de tren estación madrid del 1, la subterráneo más vieja cable metro de perfectamente conectada con las estaciones más céntricas de la ciudad.",0.8569051,0.7333333333333333
"Buena comunicación con el transporte público Metro (L1) Emt (143 ,57,58,103)","Buena con el 143 público tren subterráneo (L1) transporte Emt (143 ,57,58,103)",0.8108013,0.6363636363636364
"Vestíbulo ancho. Muy chulo el vagón antiguo que está expuesto","antiguo ancho. considerablemente alcahuete el automotor Vestíbulo que está expuesto",0.8031063,0.4
"Estación moderna y asistida por personal","asistida moderna y por personal" asistida",0.9128203,0.75
"Muy bonito el lugar","sustancialmente bonito el lugar",0.8039483,0.5
"Podría estar mejor","haber crédito mejor"",0.5582012,0.2
"Huele a vómito.","vómito." a vomito",0.8004906,0.5
"De acuerdo",""De negocio",0.44255078,0.0
"Excelente metro.","metro." subterráneo tren",0.68129706,0.25
"Si no conoces la zona, la entrada al cercanías apenas se ve y no está señalizada muy allá. La estación es bastante antigua, aunque suele estar siempre limpia. Los trenes de esta línea casi siempre funcionan bien. No hay ni ascensor ni acceso para gente con discapacidad","Si no conoces la incesantemente la al cercanías escasamente se ve y no está perpetuamente allá. La estación es muy bien. antigua, aunque suele linea ascensor limpia. Los trenes de esta línea casi zona, funcionan señalizada No hay ni considerablemente ni entrada para personas con discapacidad",0.9218569,0.6764705882352942
"Excelente intercambiador de ferrocarril a metro o buses urbanos o interurbanos . Gran estación en si ,que posee alrededor restauración y cerca del carrefour de aluche .","Excelente de tren a metro o buses . o interurbanos urbanos alambrada estación en si ,que posee alrededor recuperación y Gran del carrefour de ferrocarril aluche .",0.9166523,0.6842105263157895
"Esta bien","Esta bien",0.9999999,1.0
"Una estación de metro bastante concurrida de lunes a viernes, una de las pocas estaciones de metro al aire libre. Buenas tiendas en el interior por si necesitas algo de comida. También hay una estación de cercanías en la plaza, donde en navidades se ponían puestos artesanales.","Una navidades aire de días bastante concurrida de lunes a una de las pocas subterraneo de estacion tren subterráneo aluminio plaza, libre. buenos estaciones en el interior por si aire metro algo de comida. También hay una estación de en la gas donde en estación se ponían artesanales.",0.74893045,0.5517241379310345
"Acabo de pasar por taquilla para solicitar 1 billete con título zona A, para Guadalajara y estando 2 interventores o señores en taquilla, me dice el más próximo a ventanilla, que no me lo puede dar en ese momento porque está cerrado. Le pregunto y me indica que bajarme en atocha. Y yo me digo, tengo que perder mi tiempo en bajar en atocha, quizás mi tren. Para qué se promociona un servicio que no facilita el transporte publico. Muchas máquinas, pero ninguna adaptada para poder sacar este tipo de billetes. He llegado a atocha y he tenido que dejar mi tren para no montarme sin billete. Esto a qué puede llevar ?","Acabo de pasar por estando para pedir 1 pasaje con encabezamiento poder A, para dejar perder y zona montarme o señores en solicitar taquilla taquilla, me dice el próximo a ventanilla, que no me lo he dar en esto digo, ese ferrocarril taquilla porque está cerrado. Le publico. y me indica que bajarme en atocha. Y Esto yo me facilita tengo que perder mi sacar interventores en empeorar en atocha, servicio quizás mi Para qué se un servicio que no facilita el transporte pregunto Muchas pero ninguna adaptada para momento quitar este de He llegado a atocha y puede que mi Guadalajara para no tiempo sin billete. puede a qué puede llevar",0.9116506,0.7321428571428571
"Le doy 3 estrellas 1° estrella:su comunicacion En cercanias en menos de 10 min te has plantado en Atocha En metro esta bien comunicado 2° estrella:su limpieza esta muy bien 3° estrella:puedes tomar un desayuno mientras viene el tren -1 estrella:No tiene acceso para anciano con problemas o con personas con movilidad reducida -1 estrella: es dificil ver desde meteo donde queda el cercanias esta mal señalado","Le 1° 3 estrellas doy estrella:su abuelo estrellano en menos de 10 min te doy anciano en tuerca imperfectamente esta bien comunicado 2° estrella:su limpieza esta plantado bien 3° reducida es consumir un desayuno mientras viene el ferrocarril -1 tiene acceso para enterarse con problemas o con personas con movilidad estrella:puedes dificil -1 estrella: 2 es dificil considerablemente desde meteo donde el cercanias esta metro señalado",0.9340994,0.6595744680851063
"Muy buena","buena considerablemente",0.6125867,0.3333333333333333
"Una estación del metro segura y muy limpia","Una estación del limpia y considerablemente sustancialmente metro",0.86008865,0.5
"La estación  Renfe de Aluche huele fuertemente a cloaca.. todos los días   por favor aplicar una solución","La solución Renfe de Aluche huele apretado a cloaca.. todos los días por favor aplicar una estación",0.9726081,0.8181818181818182
"Buena comunicación entre metro y cercanías, la pena es que los autobuses no gocen de las mismas facilidades y no estén bien señalizados","Buena comunicación entre metro y facilidades la cercanías, es que gocen los autobuses gocen de las mismas no dolor y no estén bien",0.96755266,0.8
"Util, rapido y bien señalizado.","Util, señalizado. y senalizado rapido",0.92588943,0.75
"Zona bastante amplia, sin aglomeración.","Zona área aglomeración. sin bastante",0.8564017,0.6
"Bonita y espaciosa estación de Metro aérea, abierta y techada.","Bonita y bonita espaciosa de tren subterráneo aérea, no cercado y techada.",0.7524382,0.36363636363636365
"El buen caffe de la estación de aluche!","El aluche! caffe de la estación de caffe",0.9317484,0.75
"Bien.",""Bien."",0.9268911,1.0
"Me encanta","Me encanta",1.0000001,1.0
"Buena","buena",1.0,1.0
"Bonita estación con muchos autobuses que conectan afuera. La estación en sí tiene algunas cafeterías y lugares debajo. Bastante abierto y limpio","Bonita tiene con muchos autobuses que conectan afuera. La abajo estación en sí tiene algunas abierto y lugares Bastante cafeterías y limpio",0.94741654,0.8461538461538461
"Normal","habitual",0.28601947,0.0
"Muy bien....","bien bien...."",0.805464,0.5
"Limpio y cómodo.","Limpio y preciso",0.7835767,0.3333333333333333
"Estación de Metro un tanto antigua, penúltima antes de llegar al nudo de Cuatro Caminos por la Línea 1. Solo te conduce a las Estaciones al norte de la Línea 1 y al sur a Cuatro Caminos y siguientes de la Línea 1. Necesita una renovación.","Estación de Metro un tan penúltima antes de llegar 1 siguientes nudo de Caminos por la solitario te Línea línea a las Estaciones solitario al norte de la antigua de transmisión al y al sur a Cuatro Caminos y siguientes de la línea de norte transmisión 1. Necesita una 1.",0.9133786,0.7083333333333334
"Estación un poco anticuada, pero al menos es bien sencilla","Estación un sencilla ligeramente anticuada, pero menos es bien menos",0.9134703,0.6666666666666666
"Hacia mucho q no cogida el metro... Rápido y como siempre con mucha gente","Hacia mucho metro... no cogida el rapido q Rápido y como perpetuamente con gente",0.9537401,0.7
"Una estación conveniente con solo dos salidas, que se encuentran en lados opuestos de la carretera. Por eso no da miedo cometer un error. Hay todo lo que necesitas en la calle.","Una estación conveniente con necesitas solitario dos salidas, que se en vía no cometer de opuestos la carretera. Por eso rápida espanto lados un error. Hay todo lo que necesitas en la calle.",0.9355484,0.6521739130434783
"BIEN",""BIEN"",0.9632277,1.0
"Estación pequeña, poco transitada diría aunque con buena iluminación nocturna, me hubiera gustado que tuviese más comunicación con otras estaciones importantes del metro de Madrid.","Estación pequeña, ligeramente transitada diría aunque con buena comunicación nocturna, más me hubiera que tuviese estaciones transitada con otras estaciones importantes del tren subterráneo de Madrid.",0.93062085,0.6666666666666666
"Lento, lentísimo y fines de semana muy pocos, mucha espera","Lento, lentísimo y fines de espera sustancialmente lento mucha semana",0.8942101,0.75
"Buena","buena",1.0,1.0
"Buena","buena",1.0,1.0
"Estación de metro que pertenece a la línea 1. Estación antigua con vestíbulo pequeño. No dispone de ascensores, pero si tiene cobertura móvil. Tiene varios accesos a la calle.",""Estación de metro que pertenece a la línea 1. Estación dispone con No antigua de ascensores, pero movil si tiene aplicación Tiene varios accesos a la recibidor pequeno",0.9236804,0.7222222222222222
"Estación no preparada para viajar con equipaje. Largas escaleras. Tornos pequeños. Hay que saber muy bien de antemano por qué boca te interesa salir.","Tornos no preparada para viajar con escaleras. Largas equipaje. Estación pequeños. Hay maleta que largas sustancialmente bien de antemano por qué boca te salir.",0.9293623,0.7368421052631579
"Una estación antigua, no preparada para minusválidos, el barrio merece la pena, muy centrico","Una estación antigua, no para minusválidos, centrico el barrio merece la pena, sustancialmente centrico",0.9622948,0.7272727272727273
"Una estación de las antiguas y muy concurrida","Una antiguas estación de las antiguas y sustancialmente",0.8576521,0.4
"Muchas escaleras para poder salir. No me ha gustado nada","Muchas escaleras para finiquitar gustado No me ha gustado nada",0.88128793,0.5714285714285714
"Fácil de entender y pequeña","entender de Fácil coger y",0.7940686,0.5
"Todo normal","todo "Todo",0.7730267,0.5
"Para nada moderna","Para nada moderna",1.0,1.0
"Super buen","buen Super",0.9778502,1.0
"Una estación de metro más.","Una estación de tren más. subterraneo",0.51316667,0.25
